A, tp=0, ts=0, x0=373321178, x1=1000005
A, tp=0, ts=0, x0=2, x1=559514290
A, tp=0, ts=0, x0=703748452, x1=1000001
A, tp=0, ts=0, x0=120, x1=606967318
A, tp=0, ts=0, x0=759454589, x1=1000016
A, tp=1, ts=1, x0=12, x1=55280528
A, tp=1, ts=1, x0=1, x1=107019942
A, tp=1, ts=1, x0=811960572, x1=1000007
A, tp=1, ts=1, x0=1, x1=240156533
A, tp=1, ts=1, x0=18709334, x1=1000001
A, tp=2, ts=2, x0=382513159, x1=1000001
A, tp=2, ts=2, x0=1, x1=136297364
A, tp=2, ts=2, x0=6, x1=332126639
A, tp=2, ts=2, x0=2, x1=661315410
A, tp=2, ts=2, x0=1, x1=380855815
A, tp=3, ts=3, x0=465808655, x1=1000001
A, tp=3, ts=3, x0=5, x1=941288946
A, tp=3, ts=3, x0=508738113, x1=1000005
A, tp=3, ts=3, x0=47520205, x1=1000001
A, tp=3, ts=3, x0=502, x1=860587160
A, tp=4, ts=4, x0=2175, x1=838990529
A, tp=4, ts=4, x0=695823982, x1=1000001
A, tp=4, ts=4, x0=2, x1=828635743
A, tp=4, ts=4, x0=999738867, x1=6
A, tp=4, ts=4, x0=238253208, x1=1000005
A, tp=5, ts=5, x0=759057538, x1=1000002
A, tp=5, ts=5, x0=2, x1=662958914
A, tp=5, ts=5, x0=476381130, x1=1000001
A, tp=5, ts=5, x0=1, x1=131587654
A, tp=5, ts=5, x0=815357125, x1=1000002
