C, tp=0, ts=0, x0=373321178, x1=1000005
B, tp=0, ts=0, x0=141336768, x1=24488071
A, tp=0, ts=0, x0=977202503, x1=5
A, tp=0, ts=0, x0=78200211, x1=4
B, tp=0, ts=0, x0=819702502, x1=485979949
B, tp=0, ts=0, x0=551152087, x1=393602478
B, tp=0, ts=0, x0=107019939, x1=905226258
B, tp=0, ts=0, x0=196980072, x1=454158359
B, tp=0, ts=0, x0=583930965, x1=926246431
C, tp=0, ts=0, x0=18709334, x1=1000001
C, tp=0, ts=0, x0=382513159, x1=1000001
B, tp=0, ts=0, x0=602083814, x1=136297364
B, tp=0, ts=0, x0=665429171, x1=686995938
B, tp=0, ts=0, x0=5126561, x1=81369223
B, tp=0, ts=0, x0=63979174, x1=663396137
B, tp=0, ts=0, x0=912462831, x1=10932332
C, tp=0, ts=0, x0=543446181, x1=1000001
B, tp=0, ts=0, x0=941288943, x1=950610792
C, tp=0, ts=0, x0=508738113, x1=1000005
C, tp=0, ts=0, x0=47520205, x1=1000001
B, tp=0, ts=0, x0=72765936, x1=53213669
C, tp=0, ts=0, x0=217648410, x1=1000037
C, tp=0, ts=0, x0=706859224, x1=1000001
B, tp=0, ts=0, x0=703780930, x1=204285909
B, tp=0, ts=0, x0=169689981, x1=999738870
A, tp=0, ts=0, x0=830974476, x1=5
B, tp=0, ts=0, x0=269723277, x1=402547814
B, tp=0, ts=0, x0=852425899, x1=436573226
B, tp=0, ts=0, x0=511960269, x1=662958914
C, tp=0, ts=0, x0=476381130, x1=1000001
B, tp=0, ts=0, x0=422491270, x1=561886435
B, tp=0, ts=0, x0=385384060, x1=815357128
B, tp=0, ts=0, x0=351640802, x1=156687921
B, tp=0, ts=0, x0=552736132, x1=247728190
B, tp=0, ts=0, x0=375807605, x1=108120162
B, tp=0, ts=0, x0=47234791, x1=313457094
B, tp=0, ts=0, x0=84697032, x1=357706053
C, tp=0, ts=0, x0=593456505, x1=1000002
C, tp=0, ts=0, x0=13604375, x1=1000002
B, tp=0, ts=0, x0=277420835, x1=129169819
C, tp=0, ts=0, x0=915319661, x1=1000001
B, tp=0, ts=0, x0=226894943, x1=772224333
B, tp=0, ts=0, x0=604689031, x1=616902748
B, tp=0, ts=0, x0=625300787, x1=823006590
B, tp=0, ts=0, x0=133228162, x1=287147850
B, tp=0, ts=0, x0=572435483, x1=100122075
A, tp=0, ts=0, x0=489398226, x1=5
B, tp=0, ts=0, x0=939523143, x1=990063823
A, tp=0, ts=0, x0=278911495, x1=9
B, tp=0, ts=0, x0=592957960, x1=304869890
C, tp=0, ts=0, x0=409209870, x1=1000001
C, tp=0, ts=0, x0=740913021, x1=1000001
B, tp=0, ts=0, x0=295483163, x1=686787634
A, tp=0, ts=0, x0=436088119, x1=4
C, tp=0, ts=0, x0=643958897, x1=1000003
C, tp=0, ts=0, x0=316227884, x1=1000001
C, tp=0, ts=0, x0=781923929, x1=1000001
C, tp=0, ts=0, x0=448744094, x1=1000001
B, tp=0, ts=0, x0=141371382, x1=501926696
B, tp=0, ts=0, x0=617548455, x1=149122713
B, tp=0, ts=0, x0=830107684, x1=404939265
B, tp=0, ts=0, x0=33541119, x1=273054606
C, tp=0, ts=0, x0=883227172, x1=1000001
B, tp=0, ts=0, x0=556360567, x1=364350778
C, tp=0, ts=0, x0=921563666, x1=1000001
