C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=24488071, x1=1
B, tp=0, ts=0, x0=724120814, x1=1
A, tp=0, ts=0, x0=123, x1=606967315
A, tp=0, ts=0, x0=4, x1=819702502
B, tp=0, ts=0, x0=386218873, x1=1
B, tp=0, ts=0, x0=226070487, x1=2
C, tp=0, ts=0, x0=1000079, x1=1000006
C, tp=0, ts=0, x0=1000069, x1=1000004
B, tp=0, ts=0, x0=298920791, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000046
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=741139711, x1=1
B, tp=0, ts=0, x0=912462834, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000016
B, tp=0, ts=0, x0=461807609, x1=1
B, tp=0, ts=0, x0=367736411, x1=1
C, tp=0, ts=0, x0=1000005, x1=1000018
B, tp=0, ts=0, x0=370214407, x1=6
B, tp=0, ts=0, x0=985955409, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000005
B, tp=0, ts=0, x0=999738870, x1=1
B, tp=0, ts=0, x0=544124854, x1=1
B, tp=0, ts=0, x0=678233369, x1=1
B, tp=0, ts=0, x0=852425902, x1=1
B, tp=0, ts=0, x0=662958914, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=560541050, x1=4
C, tp=0, ts=0, x0=1000054, x1=1000005
C, tp=0, ts=0, x0=1000005, x1=1000013
B, tp=0, ts=0, x0=20678315, x1=3
B, tp=0, ts=0, x0=583468611, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=797377143, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000026
C, tp=0, ts=0, x0=1000010, x1=1000009
B, tp=0, ts=0, x0=572980717, x1=1
B, tp=0, ts=0, x0=52303949, x1=2
B, tp=0, ts=0, x0=133228165, x1=1
C, tp=0, ts=0, x0=1000013, x1=1000863
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000836
B, tp=0, ts=0, x0=581423456, x1=1
B, tp=0, ts=0, x0=592957963, x1=4
C, tp=0, ts=0, x0=1000001, x1=1000079
C, tp=0, ts=0, x0=1000002, x1=1000008
B, tp=0, ts=0, x0=49015671, x1=3
B, tp=0, ts=0, x0=398021061, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000006
C, tp=0, ts=0, x0=1000001, x1=1000008
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=885509310, x1=14
B, tp=0, ts=0, x0=995170038, x1=1
B, tp=0, ts=0, x0=33541122, x1=5
B, tp=0, ts=0, x0=898316390, x1=58
A, tp=0, ts=0, x0=12, x1=364350775
C, tp=0, ts=0, x0=1000001, x1=1000038
C, tp=0, ts=0, x0=1000005, x1=1000035
C, tp=0, ts=0, x0=1000009, x1=1000210
B, tp=0, ts=0, x0=131515235, x1=3
B, tp=0, ts=0, x0=717965847, x1=2
C, tp=0, ts=0, x0=1000002, x1=1000025
B, tp=0, ts=0, x0=409799250, x1=17
B, tp=0, ts=0, x0=571279370, x1=1
B, tp=0, ts=0, x0=619099170, x1=7
C, tp=0, ts=0, x0=1000005, x1=1000004
B, tp=0, ts=0, x0=538290315, x1=7
B, tp=0, ts=0, x0=939530257, x1=25
B, tp=0, ts=0, x0=194406287, x1=14
B, tp=0, ts=0, x0=433279973, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000072
B, tp=0, ts=0, x0=84150319, x1=2
C, tp=0, ts=0, x0=1000002, x1=1000063
B, tp=0, ts=0, x0=952201504, x1=2
B, tp=0, ts=0, x0=684448468, x1=1
B, tp=0, ts=0, x0=955564804, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000007
C, tp=0, ts=0, x0=1000001, x1=1000007
A, tp=0, ts=0, x0=104, x1=595122898
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000003, x1=1000010
B, tp=0, ts=0, x0=631695961, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000007
B, tp=0, ts=0, x0=555498108, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000135
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000005
B, tp=0, ts=0, x0=90980989, x1=43
C, tp=0, ts=0, x0=1000002, x1=1000031
B, tp=0, ts=0, x0=207069283, x1=1
B, tp=0, ts=0, x0=723472610, x1=5
B, tp=0, ts=0, x0=130329913, x1=12
C, tp=0, ts=0, x0=1000005, x1=1000004
C, tp=0, ts=0, x0=1000008, x1=1000005
A, tp=0, ts=0, x0=11, x1=50834365
B, tp=0, ts=0, x0=289328868, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000097
C, tp=0, ts=0, x0=1000001, x1=1000011
B, tp=0, ts=0, x0=805238015, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=66653289, x1=2
B, tp=0, ts=0, x0=407155562, x1=1
A, tp=0, ts=0, x0=4, x1=8031162
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=345522833, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000010
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=338469486, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=419048592, x1=1
A, tp=0, ts=0, x0=7, x1=602614663
